year,genero,tengo_edad,Dónde estás trabajando,Años de experiencia,antiguedad_en_la_empresa_actual,Años en el puesto actual,cuantas_personas_tenes_a_cargo,maximo_nivel_de_estudios,estado,carrera,Trabajo de,dedicacion,ultimo_salario_mensual_o_retiro_bruto_en_pesos_argentinos,ultimo_salario_mensual_o_retiro_neto_en_pesos_argentinos,¿Qué tan conforme estás con tus ingresos laborales?,recibio_actualizacion_de_ingresos,¿De qué % fue el ajuste total acumulado?,recibis_algun_tipo_de_bono,a_que_esta_atado_el_bono,Cantidad de personas en tu organización,¿La recomendás como un buen lugar para trabajar?,contas_con_beneficios_adicionales,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,Modalidad de trabajo,Si trabajas bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,que_tanto_estas_usando_copilotchatgpt_u_otras_herramientas_de_ia_para_tu_trabajo,estas_buscando_trabajo,seniority,sueldo_bruto_en_dolares,sueldo_neto_en_dolares,source_file,estudios_estado,carrera_categoria
2024,Hombre Cis,31,Capital,3,1,3,0.0,Posgrado/Especialización,Incompleto,Publicidad,Desarrollo e Ingeniería,Full-Time,1700000,1500000,3,Dos,50,No,No recibo bono,De 2 a 10 personas,10,Ninguna de las anteriores,1000,100% remoto,0,5,"No, pero escucho ofertas.",Semi-Senior,1700,1500,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,mayor_a_universitario,NO_IT
2024,Hombre Cis,28,Buenos Aires,3,3,3,7.0,Universitario,Incompleto,Derecho,Desarrollo e Ingeniería,Full-Time,2000000,1900000,4,Tres,75,Menos de un sueldo,Performance individual,De 11  a 50  personas,8,Ninguna de las anteriores,987,100% remoto,0,3,"No, estoy muy conforme.",Semi-Senior,2026,1925,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario completo,NO_IT
2024,Hombre Cis,27,Centro,5,3,3,0.0,Universitario,En curso,Ingeniería en Software,Desarrollo e Ingeniería,Full-Time,1000000,1000000,3,No,0,No,No recibo bono,De 101 a 200 personas,8,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",987,100% remoto,0,5,"No, pero escucho ofertas.",Semi-Senior,1013,1013,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario incompleto_encurso,IT_INGENIERIA
2024,Hombre Cis,34,Capital,5,5,2,6.0,,,,Desarrollo e Ingeniería,Full-Time,3300000,3000000,3,Uno,100,No,No recibo bono,De 11  a 50  personas,10,Ninguna de las anteriores,1000,100% remoto,0,1,"No, pero escucho ofertas.",Semi-Senior,3300,3000,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,,
2024,Hombre Cis,29,Centro,9,4,3,0.0,Universitario,Incompleto,Licenciatura en Ciencias de la Computación,Desarrollo e Ingeniería,Full-Time,835469,693439,3,No,0,Un sueldo,Performance de la compañía,De 51 a 100 personas,8,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",1014,Híbrido (presencial y remoto),2,5,"No, pero escucho ofertas.",Senior,824,684,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario completo,IT_LICENCIATURA
2024,Hombre Cis,28,Buenos Aires,3,3,1,5.0,Universitario,En curso,Licenciatura en Ciencia de Datos,Desarrollo e Ingeniería,Full-Time,1050000,1050000,3,Dos,20,No,No recibo bono,De 11  a 50  personas,8,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",987,100% remoto,0,4,"No, estoy muy conforme.",Semi-Senior,1064,1064,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario incompleto_encurso,IT_LICENCIATURA
2024,Hombre Cis,32,Capital,4,4,1,3.0,,,,Desarrollo e Ingeniería,Full-Time,860000,805000,3,Tres,30,Un sueldo,Performance individual,De 51 a 100 personas,9,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas",1040,100% remoto,0,4,"No, estoy muy conforme.",Semi-Senior,827,774,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,,
2024,Hombre Cis,42,Resto del país,15,2,2,0.0,Posgrado/Especialización,Incompleto,Ingeniería en Sistemas,Desarrollo e Ingeniería,Full-Time,4000000,4000000,4,No,0,No,No recibo bono,De 101 a 200 personas,10,"Capacitaciones y/o cursos, Horarios flexibles, Stock options / RSUs",987,100% remoto,0,5,"No, estoy muy conforme.",Senior,4053,4053,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,mayor_a_universitario,IT_INGENIERIA
2024,Hombre Cis,41,Centro,17,10,10,0.0,Universitario,Incompleto,Licenciatura en Ciencias de la Computación,Desarrollo e Ingeniería,Full-Time,5000000,5000000,3,No,0,No,No recibo bono,De 2 a 10 personas,10,Ninguna de las anteriores,987,100% remoto,0,0,"No, estoy muy conforme.",Senior,5066,5066,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario completo,IT_LICENCIATURA
2024,Mujer Cis,22,Capital,0,0,0,0.0,Universitario,En curso,Ingeniería en Informática,Desarrollo e Ingeniería,Part-Time,450000,440000,1,No,0,No,No recibo bono,De 11  a 50  personas,1,Ninguna de las anteriores,1000,Híbrido (presencial y remoto),4,5,"Sí, estoy buscando activamente.",Junior,450,440,Copia de 2024.1 - Sysarmy - Encuesta de remuneración salarial Argentina_replaced.xlsx,universitario incompleto_encurso,IT_INGENIERIA
